filename,total_changes,total_lines_added,total_lines_deleted,avg_complexity,avg_loc,num_authors,bug_fix_commits,label
setup.py,172,586,578,5.37,70.04,43,13,1
test_requests.py,616,8710,5994,305.27,898.56,189,120,1
__init__.py,338,3105,2942,7.53,29.38,42,20,1
core.py,138,2325,2316,78.72,153.66,10,9,1
conf.py,40,593,208,0.0,54.73,15,7,1
encode.py,3,414,828,76.0,232.0,1,0,0
streaminghttp.py,4,204,403,0.0,92.0,2,1,1
async.py,35,316,270,8.08,36.06,11,2,1
structures.py,46,1432,1329,29.56,54.73,22,5,1
api.py,144,728,614,9.65,33.26,58,17,1
models.py,724,5984,5120,162.82,419.8,201,128,1
monkeys.py,21,960,1111,53.06,164.44,4,3,1
patches.py,3,5,10,0.0,0.0,1,0,0
flask_theme_support.py,1,86,0,1.0,68.0,1,0,0
exceptions.py,83,579,383,21.38,33.96,26,13,1
settings.py,3,42,42,11.0,19.5,2,0,0
config.py,22,180,182,7.6,25.81,6,1,1
status_codes.py,35,256,128,5.88,77.35,22,5,1
session.py,1,44,0,6.0,19.0,1,0,0
sessions.py,340,2564,1721,80.52,235.86,108,64,1
hooks.py,31,311,228,6.9,13.8,14,2,1
test_unicode.py,2,66,66,8.0,30.0,2,0,0
utils.py,293,2857,1555,114.59,313.87,108,55,1
args.py,2,7,7,0.0,0.0,1,0,0
post_request.py,2,7,7,0.0,0.0,1,0,0
pre_request.py,2,7,7,0.0,0.0,1,0,0
response.py,55,1347,1166,53.73,135.18,13,0,0
test_requests_api.py,9,209,209,13.5,120.75,2,1,1
connectionpool.py,70,2606,2080,86.73,283.3,17,8,1
ntlmpool.py,17,258,141,13.0,70.46,5,0,0
filepost.py,22,257,186,11.29,38.61,6,0,0
_collections.py,28,746,627,42.04,99.31,8,0,0
poolmanager.py,40,801,673,27.29,82.16,11,1,1
_config.py,6,14,71,3.0,20.67,1,0,0
api_tests.py,1,209,0,17.0,176.0,1,0,0
integration_tests.py,1,528,0,0.0,311.0,1,0,0
request.py,26,499,354,14.4,42.33,7,1,1
defaults.py,39,148,148,0.0,17.87,7,3,1
auth.py,120,1163,849,43.5,142.97,46,30,1
__collections.py,2,991,991,359.0,664.0,1,0,0
test_requests_ext.py,15,151,151,13.5,45.07,8,3,1
six.py,7,994,994,82.0,338.2,2,0,0
compat.py,61,386,251,2.92,39.12,25,6,1
test_requests_async.py,6,86,86,0.0,40.4,5,1,1
test.py,8,49,49,0.0,16.6,2,1,1
util.py,18,762,762,67.59,182.59,10,0,0
test_requests_https.py,4,34,34,5.0,16.0,4,0,0
cookiejar.py,3,197,197,54.0,150.0,2,0,0
cookies.py,81,974,408,107.2,235.49,31,10,1
test_cookies.py,13,288,288,20.75,141.33,5,4,1
safe_mode.py,6,52,52,1.0,18.4,5,0,0
big5freq.py,10,2783,2783,0.0,769.6,3,0,0
big5prober.py,11,300,300,4.12,12.5,3,0,0
chardistribution.py,12,1566,1566,60.38,122.89,3,0,0
charsetgroupprober.py,11,761,761,31.0,65.25,3,0,0
charsetprober.py,12,293,293,12.71,27.57,3,0,0
codingstatemachine.py,12,468,468,8.44,23.67,3,0,0
constants.py,9,242,242,0.0,9.17,3,0,0
escprober.py,10,553,553,19.67,50.29,3,0,0
escsm.py,11,1750,1750,0.0,197.5,3,0,0
eucjpprober.py,11,657,657,17.88,52.0,3,0,0
euckrfreq.py,10,1791,1791,0.0,470.2,3,0,0
euckrprober.py,11,300,300,4.12,12.5,3,0,0
euctwfreq.py,10,1626,1626,0.0,371.2,3,0,0
euctwprober.py,11,300,300,4.12,12.5,3,0,0
gb2312freq.py,10,1421,1421,0.0,388.6,3,0,0
gb2312prober.py,11,300,300,4.12,12.5,3,0,0
hebrewprober.py,11,2006,2006,28.0,72.88,3,0,0
jisfreq.py,10,1713,1713,0.0,471.4,3,0,0
jpcntx.py,14,1918,1918,52.44,205.36,3,0,0
langbulgarianmodel.py,11,1644,1644,0.0,185.25,3,0,0
langcyrillicmodel.py,12,2348,2348,0.0,281.22,3,0,0
langgreekmodel.py,12,1591,1591,0.0,180.78,3,0,0
langhebrewmodel.py,12,1417,1417,0.0,155.67,3,0,0
langhungarianmodel.py,12,1589,1589,0.0,180.78,3,0,0
langthaimodel.py,11,1406,1406,0.0,155.62,3,0,0
latin1prober.py,14,1004,1004,13.36,92.09,3,0,0
mbcharsetprober.py,11,634,634,19.88,46.88,3,0,0
mbcsgroupprober.py,11,313,313,3.0,21.38,3,0,0
mbcssm.py,13,3887,3887,0.0,449.5,3,0,0
sbcharsetprober.py,13,881,881,26.33,74.4,3,0,0
sbcsgroupprober.py,11,435,435,3.0,36.12,3,0,0
sjisprober.py,12,659,659,17.89,53.0,3,0,0
universaldetector.py,14,1362,1362,52.9,117.18,3,0,0
utf8prober.py,11,567,567,17.88,41.38,3,0,0
certs.py,11,57,39,1.33,6.4,5,1,1
common.py,2,229,229,39.0,104.0,1,0,0
